'NDB_No','FdGrp_Cd','Long_Desc','Shrt_Desc','ComName','ManufacName','Survey','Ref_desc','Refuse','SciName','N_Factor','Pro_Factor','Fat_Factor','CHO_Factor'
'23365','1300','Beef WM  round WM  eye of round steak WM  boneless WM  separable lean only WM  trimmed to 0in fat WM  select WM  raw','BEEF WM RND WM EYE OF RND STEAK WM BNLESS WM LN WM 0in FAT WM SEL WM RAW','Eye of Round Steak WM  URMIS # 1481',,,'Connective tissue 2%',2,,6.25,,,
'23366','1300','Beef WM  loin WM  tenderloin roast WM  boneless WM  separable lean only WM  trimmed to 0in fat WM  all grades WM  raw','BEEF WM LOIN WM TENDERLOIN RST WM BNLESS WM LN WM 0in FAT WM ALL GRDS WM RAW','Tenderloin Roast',,,'Connective tissue 1% WM  separable fat 3%',4,,6.25,,,
'23367','1300','Beef WM  loin WM  tenderloin roast WM  boneless WM  separable lean only WM  trimmed to 0in fat WM  choice WM  raw','BEEF WM LOIN WM TENDERLOIN RST WM BNLESS WM LN WM 0in FAT WM CHOIC WM RAW','Tenderloin Roast WM  URMIS # 2201',,,'Connective tissue 1% WM  separable fat 3%',4,,6.25,,,
'23368','1300','Beef WM  loin WM  tenderloin roast WM  boneless WM  separable lean only WM  trimmed to 0in fat WM  select WM  raw','BEEF WM LOIN WM TENDERLOIN RST WM BNLESS WM LN WM 0in FAT WM SEL WM RAW','Tenderloin Roast WM  URMIS # 1386',,,'Connective tissue 1% WM  separable fat 2%',3,,6.25,,,
'23369','1300','Beef WM  loin WM  top loin steak WM  boneless WM  lip off WM  separable lean only WM  trimmed to 0in fat WM  all grades WM  raw','BEEF WM LOIN WM TOP LOIN STK WM BNLS WM LIP OFF WM LN WM 0in FAT WM ALL GRDS WM RAW','Kansas City Strip WM  Boneless Strip Steak WM  Club Steak WM  New York Strip',,'Y','Connective tissue 8% WM  separable fat 5%',13,,6.25,,,
'23370','1300','Beef WM  loin WM  top loin steak WM  boneless WM  lip off WM  separable lean only WM  trimmed to 0in fat WM  choice WM  raw','BEEF WM LOIN WM TOP LOIN STEAK WM BNLESS WM LIP OFF WM LN WM 0in FAT WM CHOIC WM RAW','URMIS # 2219 WM  Kansas City Strip WM  Boneless Strip Steak WM  Club Steak WM  New York Strip',,,'Connective tissue 8% WM  separable fat 6%',14,,6.25,,,
'23371','1300','Beef WM  loin WM  top loin steak WM  boneless WM  lip off WM  separable lean only WM  trimmed to 0in fat WM  select WM  raw','BEEF WM LOIN WM TOP LOIN STEAK WM BNLESS WM LIP OFF WM LN WM 0in FAT WM SEL WM RAW','URMIS # 1404 WM  Kansas City Strip WM  Boneless Strip Steak WM  Club Steak WM  New York Strip',,,'Connective tissue 8% WM  separable fat 4%',12,,6.25,,,
'23372','1300','Beef WM  loin WM  tenderloin steak WM  boneless WM  separable lean only WM  trimmed to 0in fat WM  all grades WM  raw','BEEF WM LOIN WM TENDERLOIN STEAK WM BNLESS WM LN WM 0in FAT WM ALL GRDS WM RAW','Fillet Mignon WM  Tenderloin Steak WM  Beef Medallions',,,'Separable fat 2%',2,,6.25,,,
'23373','1300','Beef WM  loin WM  tenderloin steak WM  boneless WM  separable lean only WM  trimmed to 0in fat WM  choice WM  raw','BEEF WM LOIN WM TENDERLOIN STEAK WM BNLESS WM LN WM 0in FAT WM CHOIC WM RAW','URMIS # 2203 WM  Tenderloin Steak WM  Beef Medallions WM  Filet Mignon',,,'Separable fat 2%',2,,6.25,,,
'23374','1300','Beef WM  loin WM  tenderloin steak WM  boneless WM  separable lean only WM  trimmed to 0in fat WM  select WM  raw','BEEF WM LOIN WM TENDERLOIN STEAK WM BNLESS WM LN WM 0in FAT WM SEL WM RAW','URMIS # 1388 WM  Tenderloin Steak WM  Beef Medallions WM  Filet Mignon',,,'Separable fat 2%',2,,6.25,,,
'23375','1300','Beef WM  loin WM  tenderloin roast WM  boneless WM  separable lean only WM  trimmed to 0in fat WM  all grades WM  cooked WM  roasted','BEEF WM LOIN WM TENDERLOIN RST WM BNLESS WM LN WM 0in FAT WM ALL GRDS WM CKD WM RSTD','Tenderloin Roast',,'Y','Separable fat 1%',1,,6.25,,,
'23376','1300','Beef WM  loin WM  tenderloin roast WM  boneless WM  separable lean only WM  trimmed to 0in fat WM  choice WM  cooked WM  roasted','BEEF WM LOIN WM TENDERLOIN RST WM BNLESS WM LN WM 0in FAT WM CHOIC WM CKD WM RSTD','Tenderloin Roast WM  URMIS # 2201',,,'Separable fat 1%',1,,6.25,,,
'23377','1300','Beef WM  loin WM  tenderloin roast WM  separable lean only WM  boneless WM  trimmed to 0in fat WM  select WM  cooked WM  roasted','BEEF WM LOIN WM TENDERLOIN RST WM LN WM BNLESS WM 0in FAT WM SEL WM CKD WM RSTD','Tenderloin Roast WM  URMIS # 1386',,,'Separable fat 1%',1,,6.25,,,
'23378','1300','Beef WM  round WM  top round roast WM  boneless WM  separable lean only WM  trimmed to 0in fat WM  all grades WM  cooked WM  roasted','BEEF WM RND WM TOP RND RST WM BNLESS WM LN WM 0in FAT WM ALL GRDS WM CKD WM RSTD','Top Round Roast',,'Y',,0,,6.25,4.27,9.02,3.87
'23379','1300','Beef WM  round WM  top round roast WM  boneless WM  separable lean only WM  trimmed to 0in fat WM  choice WM  cooked WM  roasted','BEEF WM RND WM TOP RND RST WM BNLESS WM LN WM 0in FAT WM CHOIC WM CKD WM RSTD','Top Round Roast WM  URMIS # 2366',,,,0,,6.25,,,
'23380','1300','Beef WM  round WM  top round roast WM  boneless WM  separable lean only WM  trimmed to 0in fat WM  select WM  cooked WM  roasted','BEEF WM RND WM TOP RND RST WM BNLESS WM LN WM 0in FAT WM SEL WM CKD WM RSTD','Top Round Roast WM  URMIS # 1551',,,,0,,6.25,,,
'23381','1300','Beef WM  round WM  eye of round steak WM  boneless WM  separable lean only WM  trimmed to 0in fat WM  all grades WM  cooked WM  grilled','BEEF WM RND WM EYE OF RND STEAK WM BNLESS WM LN WM 0in FT WM A GRDS WM CKD WM GRILLED','Eye of Round Steak',,'Y',,0,,6.25,,,
'23382','1300','Beef WM  round WM  eye of round steak WM  boneless WM  separable lean only WM  trimmed to 0in fat WM  choice WM  cooked WM  grilled','BEEF WM RND WM EYE OF RND STEAK WM BNLESS WM LN WM 0in FAT WM CHOIC WM CKD WM GRILLED','Eye of Round Steak WM  URMIS # 2296',,,,0,,6.25,,,
'23383','1300','Beef WM  round WM  eye of round steak WM  boneless WM  separable lean only WM  trimmed to 0in fat WM  select WM  cooked WM  grilled','BEEF WM RND WM EYE OF RND STEAK WM BNLESS WM LN WM 0in FAT WM SEL WM CKD WM GRILLED','Eye of Round Steak WM  URMIS # 1481',,,,0,,6.25,,,
'23384','1300','Beef WM  loin WM  top loin steak WM  boneless WM  lip-on WM  separable lean only WM  trimmed to 1/8in fat WM  select WM  raw','BEEF WM LOIN WM TOP LOIN STEAK WM BNLESS WM LIP-ON WM LN WM 1/8in FAT WM SEL WM RAW','URMIS # 1404 WM  Kansas City Strip WM  Boneless Strip Steak WM  Club Steak WM  New York Strip',,,'Connective tissue 7% Separable fat 14%',21,,,,,
'23385','1300','Beef WM  loin WM  top loin steak WM  boneless WM  lip-on WM  separable lean only WM  trimmed to 1/8in fat WM  choice WM  raw','BEEF WM LOIN WM TOP LOIN STEAK WM BNLESS WM LIP-ON WM LN WM 1/8in FAT WM CHOIC WM RAW','URMIS # 2219 WM  Kansas City Strip WM  Boneless Strip Steak WM  Club Steak WM  New York Strip',,,'Connective tissue 7% WM  separable fat 14%',22,,6.25,,,
'23386','1300','Beef WM  loin WM  top loin steak WM  boneless WM  lip-on WM  separable lean only WM  trimmed to 1/8in fat WM  all grades WM  raw','Beef WM  ln WM  top ln stk WM  bneless lip-on WM  1/8in fat all grdes raw','Kansas City Strip WM  Boneless Strip Steak WM  Club Steak WM  New York Strip',,,'Connective tissue 7% Separable fat 14%',22,,6.25,,,
'23387','1300','Beef WM  loin WM  top loin steak WM  boneless WM  lip-on WM  separable lean and fat WM  trimmed to 1/8in fat WM  select WM  raw','BEEF WM LN WM TP LN STEAK WM BNLESS WM LIP-ON WM LN & FAT WM 1/8in FAT WM SEL WM RAW','URMIS # 1404 WM  Kansa City Strip WM  Boneless Strip Steak WM  Club Steak WM  New York Strip',,,'Connective tissue 7%',7,,6.25,,,
'23388','1300','Beef WM  loin WM  top loin steak WM  boneless WM  lip-on WM  separable lean and fat WM  trimmed to 1/8in fat WM  all grades WM  raw','BEEF WM LN WM TP LN STK WM BNLESS WM LIPON WM LN & FAT WM 1/8in FAT WM ALL GRDS WM RW','Kansas City Strip WM  Boneless Strip Steak WM  Club Steak WM  New York Strip',,,'Connective tissue 7%',7,,6.25,,,
'23389','1300','Beef WM  loin WM  top loin steak WM  boneless WM  lip-on WM  separable lean and fat WM  trimmed to 1/8in fat WM  choice WM  cooked WM  grilled','BEEF WM LN WM TP LN STK WM BNLESS WM LIPON WM L & F WM 1/8in FAT WM CHOIC WM GRILLED','URMIS # 2219 WM  Kansas City Strip WM  Boneless Strip Steak WM  Club Steak WM  New York Strip',,,'Connective tissue 8%',8,,6.25,,,
'23390','1300','Beef WM  loin WM  top loin steak WM  boneless WM  lip-on WM  separable lean and fat WM  trimmed to 1/8in fat WM  select WM  cooked WM  grilled','BEEF WM LN WM TP LN STK WM BNLESS WM LIPON WM L & F WM 1/8in FAT WM SeL WM  CK GRLED','URMIS # 1404 WM  Kansas City Strip WM  Boneless Strip Steak WM  Club Steak WM  New York Strip',,,'Connective tissue 9%',9,,6.25,,,
'23391','1300','Beef WM  loin WM  top loin steak WM  boneless WM  lip-on WM  separable lean and fat WM  trimmed to 1/8in fat WM  all grades WM  cooked WM  grilled','BEEF WM LN WM TP LN STK WM BNLESS WM LIPON WM L & F WM 1/8 FAT WM A GRDS WM  GRILLED','Kansas City Strip WM  Boneless Strip Steak WM  Club Steak WM  New York Strip',,,'Connective tissue 8%',8,,6.25,,,
'23392','1300','Beef WM  loin WM  top loin steak WM  boneless WM  lip-on WM  separable lean only WM  trimmed to 1/8in fat WM  choice WM  cooked WM  grilled','BEEF WM LON WM TP LON STK WM BNLSS WM LIP-ON WM LN WM 1/8in FAT WM CHC WM CKD WM GRILLD','URMIS # 2219 WM  Kansas City Strip WM  Boneless Strip Steak WM  Club Steak WM  New York Strip',,,'Connective tissue 8% WM  separable fat 14%',22,,6.25,,,
'23393','1300','Beef WM  loin WM  top loin steak WM  boneless WM  lip-on WM  separable lean only WM  trimmed to 1/8in fat WM  select WM  cooked WM  grilled','BEEF WM LN WM TOP LN STK WM BNLESS WM LIP-ON WM LN WM 1/8in FAT WM SEL WM CKD WM GRILLD','URMIS # 1404 WM  Kansas City Strip WM  Boneless Strip Steak WM  Club Steak WM  New York Strip',,,'Connective tissue 9% WM  separable fat 12%',21,,,,,
'23394','1300','Beef WM  loin WM  top loin steak WM  boneless WM  lip-on WM  separable lean only WM  trimmed to 1/8in fat WM  all grades WM  cooked WM  grilled','BEEF WM LN WM TOP LN STK WM BNLSS WM LIP-ON WM LN WM 1/8in FAT WM ALL GRDS WM  WM GRLLD','Kansas City Strip WM  Boneless Strip Steak WM  Club Steak WM  New York Strip',,,'Connective tissue 8% WM  separable fat 13%',21,,,,,
'23395','1300','Beef WM  loin WM  top loin steak WM  boneless WM  lip-on WM  separable lean and fat WM  trimmed to 1/8in fat WM  choice WM  raw','BEEF WM LOIN WM TP LN STK WM BNLESS WM LIP-ON WM L&F WM 1/8in FAT WM CHOIC WM RAW','URMIS # 2219 WM  Kansas City Strip WM  Boneless Strip Steak WM  Club Steak WM  New York Strip',,,'Connective tissue 7% WM  separable fat 14%',21,,6.25,,,
'23397','1300','Beef WM  New Zealand WM  imported WM  bolar blade WM  separable lean only WM  cooked WM  fast roasted','BEEF WM NZ WM IMP WM BOLAR BLADE WM LN WM CKD WM FAST RSTD',,,,'Bone and connective tissue 5% WM  Separable fat 7%',12,,6.25,,,
'23398','1300','Beef WM  New Zealand WM  imported WM  bolar blade WM  separable lean only WM  raw','BEEF WM NZ WM IMP WM BOLAR BLADE WM LN WM RAW',,,,'Bone and Connective tissue 2% WM  Separable fat 5%',7,,6.25,,,
'23399','1300','Beef WM  New Zealand WM  imported WM  brisket navel end WM  separable lean only WM  cooked WM  braised','BEEF WM NZ WM IMP WM BRISKET NAVEL END WM LN WM CKD WM BRSD',,,,'Separable fat 29%',29,,6.25,,,
'23401','1300','Beef WM  New Zealand WM  imported WM  brisket navel end WM  separable lean only WM  raw','BEEF WM NZ WM IMP WM BRISKET NAVEL END WM LN WM RAW',,,,'Separable fat 27%',27,,6.25,,,
'23402','1300','Beef WM  New Zealand WM  imported WM  brisket point end WM  separable lean only WM  cooked WM  braised','BEEF WM NZ WM IMP WM BRISKET POINT END WM LN WM CKD WM BRSD',,,,'Separable fat 8%',8,,6.25,,,
'23403','1300','Beef WM  New Zealand WM  imported WM  brisket point end WM  separable lean only WM  raw','BEEF WM NZ WM IMP WM BRISKET POINT END WM LN WM RAW',,,,'Separable fat 6%',6,,6.25,,,
'23404','1300','Beef WM  New Zealand WM  imported WM  chuck eye roll WM  separable lean only WM  raw','BEEF WM NZ WM IMP WM CHUCK EYE ROLL WM LN WM RAW',,,,'Separable fat 8%',8,,6.25,,,
'23405','1300','Beef WM  New Zealand WM  imported WM  chuck eye roll WM  separable lean only WM  cooked WM  braised','BEEF WM NZ WM IMP WM CHUCK EYE ROLL WM LN WM CKD WM BRSD',,,,'Separable fat 8%',8,,6.25,,,
'23406','1300','Beef WM  New Zealand WM  imported WM  cube roll WM  separable lean only WM  cooked WM  fast roasted','BEEF WM NZ WM IMP WM CUBE ROLL WM LN WM CKD WM FAST RSTD',,,,'Separable fat 9%',9,,6.25,,,
'23407','1300','Beef WM  New Zealand WM  imported WM  cube roll WM  separable lean only WM  raw','BEEF WM NZ WM IMP WM CUBE ROLL WM LN WM RAW',,,,'Separable fat 11%',11,,6.25,,,
'23408','1300','Beef WM  New Zealand WM  imported WM  eye round WM  separable lean only WM  cooked WM  slow roasted','BEEF WM NZ WM IMP WM EYE RND WM LN WM CKD WM SLOW RSTD',,,,,0,,6.25,,,
'23409','1300','Beef WM  New Zealand WM  imported WM  eye round WM  separable lean only WM  raw','BEEF WM NZ WM IMP WM EYE RND WM LN WM RAW',,,,'Separable fat 2%',2,,6.25,,,
'23410','1300','Beef WM  New Zealand WM  imported WM  flank WM  separable lean only WM  cooked WM  braised','BEEF WM NZ WM IMP WM FLANK WM LN WM CKD WM BRSD',,,,'Separable fat 3%',3,,6.25,,,
'23411','1300','Beef WM  New Zealand WM  imported WM  flank WM  separable lean only WM  raw','BEEF WM NZ WM IMP WM FLANK WM LN WM RAW',,,,'Separable fat 3%',3,,6.25,,,
'23412','1300','Beef WM  New Zealand WM  imported WM  flat WM  separable lean only WM  cooked WM  braised','BEEF WM NZ WM IMP WM FLAT WM LN WM CKD WM BRSD',,,,'Separable fat 5%',5,,6.25,,,
'23413','1300','Beef WM  New Zealand WM  imported WM  flat WM  separable lean only WM  raw','BEEF WM NZ WM IMP WM FLAT WM LN WM RAW',,,,'Separable fat 5%',5,,6.25,,,
'23414','1300','Beef WM  New Zealand WM  imported WM  variety meats and by-products WM  heart WM  cooked WM  boiled','BEEF WM NZ WM IMP WM VAR MEATS & BY-PRODUCTS WM HEART WM CKD WM BLD',,,,'Separable fat 15%',15,,6.25,,,
'23415','1300','Beef WM  New Zealand WM  imported WM  variety meats and by-products WM  heart WM  raw','BEEF WM NZ WM IMP WM VAR MEATS & BY-PRODUCTS WM HEART WM RAW',,,,'Separable fat 12%',12,,6.25,,,
'23416','1300','Beef WM  New Zealand WM  imported WM  hind shin WM  separable lean only WM  cooked WM  braised','BEEF WM NZ WM IMP WM HIND SHIN WM LN WM CKD WM BRSD',,,,'Connective tissue 2% WM  Separable fat 5%',7,,6.25,,,
'23417','1300','Beef WM  New Zealand WM  imported WM  hind shin WM  separable lean only WM  raw','BEEF WM NZ WM IMP WM HIND SHIN WM LN WM RAW',,,,'Conective tissue .91% WM  Separable fat 6%',7,,6.25,,,
'23418','1300','Beef WM  New Zealand WM  imported WM  inside WM  raw','BEEF WM NZ WM IMP WM INSIDE WM RAW',,,,'Connective tissue .55% Separable fat 2%',3,,6.25,,,
'23419','1300','Beef WM  New Zealand WM  imported WM  intermuscular fat WM  cooked','BEEF WM NZ WM IMP WM INTERMUSCULAR FAT WM CKD',,,,,,,6.25,,,
'23420','1300','Beef WM  New Zealand WM  imported WM  intermuscular fat WM  raw','BEEF WM NZ WM IMP WM INTERMUSCULAR FAT WM RAW',,,,,,,6.25,,,
'23421','1300','Beef WM  New Zealand WM  imported WM  variety meats and by-products WM  kidney WM  cooked WM  boiled','BEEF WM NZ WM IMP WM VAR MEATS & BY-PRODUCTS WM KIDNEY WM CKD WM BLD',,,,'Connective tissue 20%',20,,6.25,,,
